Season,First Name,Last Name,Team,Age,PP,2P,WAR,GB,GP,PA,AB,H,HR,AVG,OBP,SLG,OPS,R,1B,2B,3B,RBI,XBH,SB,CS,BB,K,wOBA,ISO,BABIP,SH,SF,TB,HBP,E,PB,PA/G,AB/HR,K%,BB%,XBH%,wRAA,wSB,Def,Pos,Corr,RAA,WAA,WAR,qAVG,Aggr,SB%,RS%,E/GF,PB/GF,adjBA
1,Royce,Blake,NGO,25,3B,2B,1.6,77,80,258,234,54,12,.231,.286,.444,.731,27,29,12,1,40,25,6,2,17,39,.318,.214,.227,3,2,104,2,3,0,3.2,19.5,0.167,.066,.463,-1.30,0.27,1.11,-2.16,0.299,-1.78,-0.17,1.6,0.231,0.167,0.750,0.246,0.044,0.000,0.286
1,Bodhi,Butler,NGO,20,1B,C,1.1,71,80,238,219,53,5,.242,.295,.365,.661,24,36,12,0,25,17,2,1,17,47,.293,.123,.286,1,1,80,0,0,0,3.0,43.8,0.215,.071,.321,-5.68,-0.09,0.51,-0.41,0.276,-5.39,-0.53,1.1,0.242,0.057,0.667,0.292,0.000,0.000,0.252
1,Cameron,Stafford,HAV,28,LF,OF,1.2,68,80,245,225,55,6,.244,.299,.356,.655,36,43,5,1,23,12,13,3,17,41,.292,.111,.274,1,1,80,1,1,0,3.1,37.5,0.182,.069,.218,-7.36,1.21,0.20,0.62,0.284,-5.04,-0.50,1.2,0.244,0.262,0.813,0.448,0.017,0.000,0.264
1,Crispy,Gibson,BUS,27,SS,2B,0.9,78,80,261,241,62,5,.257,.303,.378,.680,27,43,14,0,23,19,4,2,17,45,.300,.120,.294,0,3,91,0,4,0,3.3,48.2,0.187,.065,.306,-9.58,-0.14,0.80,-0.75,0.303,-9.37,-0.92,0.9,0.257,0.100,0.667,0.297,0.058,0.000,0.259
1,Brady,Gonzales,MFP,30,1B,3B,1.4,71,80,237,211,55,6,.261,.325,.389,.713,24,41,7,1,28,14,3,3,17,47,.317,.128,.306,3,2,82,4,0,0,3.0,35.2,0.223,.072,.255,-2.20,-0.79,1.32,-1.23,0.275,-2.64,-0.26,1.4,0.261,0.097,0.500,0.257,0.000,0.000,0.253
1,Abraham,Shlankowitz,SCS,29,RF,OF,1.7,75,80,264,242,64,9,.264,.316,.446,.762,42,41,11,3,33,23,0,2,17,38,.332,.182,.279,1,2,108,2,1,0,3.3,26.9,0.157,.064,.359,-0.45,-0.94,0.47,-0.61,0.306,-1.24,-0.12,1.7,0.264,0.033,0.000,0.446,0.015,0.000,0.279
1,Cade,O'Cherio,SCS,24,CF,1B/OF,1.5,75,80,271,251,67,7,.267,.315,.422,.737,29,43,16,1,32,24,6,5,17,31,.324,.155,.280,1,1,106,1,1,0,3.4,35.9,0.124,.063,.358,-2.30,-1.09,0.13,-0.61,0.314,-3.56,-0.35,1.5,0.267,0.180,0.545,0.282,0.015,0.000,0.282
1,Delbert,McLongthrob,DUB,26,3B,SS,2.0,74,80,263,242,65,13,.269,.323,.483,.807,31,39,13,0,42,26,0,2,17,47,.351,.215,.284,0,1,117,3,6,0,3.3,18.6,0.194,.065,.400,3.35,-0.94,-0.91,0.06,0.305,1.86,0.18,2.0,0.269,0.034,0.000,0.250,0.091,0.000,0.279
1,Lupine,May,PAL,35,3B,SS,2.1,73,80,246,226,63,12,.279,.332,.496,.828,37,38,13,0,40,25,1,0,17,50,.361,.217,.311,2,0,112,1,6,0,3.1,18.8,0.221,.069,.397,5.09,0.16,-0.97,0.06,0.285,4.63,0.45,2.1,0.279,0.018,1.000,0.362,0.092,0.000,0.271
1,Vick,Sandwalker,PIT,35,1B,,1.6,68,80,224,202,57,7,.282,.339,.431,.770,31,42,7,1,25,15,1,0,17,45,.338,.149,.327,0,3,87,2,1,0,2.8,28.9,0.223,.076,.263,2.34,0.16,-0.29,-2.02,0.260,0.45,0.04,1.6,0.282,0.016,1.000,0.348,0.017,0.000,0.257
1,Teal,Church Jr,GLA,30,LF,RF,2.5,75,80,256,237,69,12,.291,.344,.498,.842,28,44,13,0,31,25,0,1,17,40,.367,.207,.308,0,0,118,2,0,0,3.2,19.8,0.169,.066,.362,6.57,-0.50,0.97,0.73,0.297,8.07,0.79,2.5,0.291,0.016,0.000,0.211,0.000,0.000,0.285
1,Devon,Bowls,PAL,35,CF,OF,1.4,72,80,220,203,59,4,.291,.345,.409,.754,27,43,12,0,27,16,3,2,17,39,.335,.118,.344,0,0,83,0,1,0,2.8,50.8,0.192,.077,.271,0.20,-0.34,0.07,-0.79,0.255,-0.60,-0.06,1.4,0.291,0.083,0.600,0.319,0.016,0.000,0.256
1,Aromatisse,Norris,BBR,32,LF,OF,1.6,66,80,216,191,56,2,.293,.358,.382,.740,21,43,11,0,13,13,0,1,17,43,.330,.089,.362,1,3,73,4,0,0,2.7,95.5,0.225,.079,.232,0.42,-0.50,0.96,0.60,0.251,1.74,0.17,1.6,0.293,0.016,0.000,0.253,0.000,0.000,0.240
1,Jayson,Schwartz,KBC,27,LF,OF,2.5,70,80,239,210,66,10,.314,.366,.495,.861,32,48,8,0,29,18,0,0,17,31,.372,.181,.318,1,7,104,4,2,0,3.0,21.0,0.148,.071,.273,8.44,-0.05,-0.55,0.64,0.277,8.75,0.86,2.5,0.314,0.000,0.000,0.286,0.032,0.000,0.289
1,Arf,Caldwell,PAL,30,2B,3B,3.2,80,80,269,247,83,12,.336,.378,.579,.957,31,47,24,0,47,36,0,0,17,26,.412,.243,.336,2,2,143,1,10,0,3.4,20.6,0.105,.063,.434,16.62,-0.05,-3.86,0.70,0.312,13.72,1.35,3.2,0.336,0.000,0.000,0.213,0.141,0.000,0.302
1,Rig,Ramos,VAL,26,RF,LF,3.0,80,80,280,258,88,7,.341,.387,.504,.891,29,62,17,2,35,26,5,4,17,35,.389,.163,.373,1,1,130,3,2,0,3.5,36.9,0.136,.061,.295,14.94,-0.86,-0.29,-2.93,0.325,11.18,1.10,3.0,0.341,0.110,0.556,0.218,0.028,0.000,0.278
1,Layton,Bonetti,VAL,27,2B,,0.9,70,80,225,204,45,6,.221,.274,.353,.626,22,30,9,0,27,15,2,2,16,36,.277,.132,.236,2,3,72,0,2,0,2.8,34.0,0.176,.071,.333,-8.26,-0.53,1.56,0.28,0.261,-6.69,-0.66,0.9,0.221,0.087,0.500,0.291,0.032,0.000,0.268
1,Jonnie,Watson,CAS,28,C,,0.9,69,80,223,205,52,9,.254,.314,.400,.714,26,40,3,0,30,12,1,0,16,62,.317,.146,.321,0,0,82,2,0,13,2.8,22.8,0.302,.072,.231,-2.74,0.16,-4.98,1.31,0.259,-5.99,-0.59,0.9,0.254,0.017,1.000,0.279,0.000,0.212,0.240
1,Yusuf,Santos,CDMX,26,CF,OF,0.9,79,80,276,259,66,5,.255,.298,.340,.638,21,54,7,0,26,12,5,2,16,40,.285,.085,.285,1,0,88,0,1,0,3.5,51.8,0.154,.058,.182,-9.75,0.05,0.16,-0.86,0.320,-10.08,-0.99,0.9,0.255,0.100,0.714,0.208,0.014,0.000,0.267
1,Yuri,Yeoman,PDX,25,CF,1B,1.2,67,80,223,202,53,7,.262,.321,.436,.757,31,34,10,2,28,19,3,2,16,41,.332,.173,.297,2,1,88,2,3,0,2.8,28.9,0.203,.072,.358,-0.52,-0.34,-1.74,-0.73,0.259,-3.06,-0.30,1.2,0.262,0.096,0.600,0.375,0.050,0.000,0.263
1,Cora,Offside,PAL,40,3B,1B,1.9,79,80,279,258,68,9,.264,.313,.434,.747,30,42,17,0,40,26,0,0,16,43,.328,.171,.285,1,1,112,3,2,0,3.5,28.7,0.167,.057,.382,-1.50,-0.04,1.87,-0.52,0.324,0.12,0.01,1.9,0.264,0.000,0.000,0.269,0.028,0.000,0.274
1,Mateo,David,JAK,27,1B,C,2.3,79,80,266,246,66,11,.268,.320,.476,.795,34,37,18,0,40,29,0,0,16,51,.346,.207,.297,0,1,117,3,0,0,3.3,22.4,0.207,.060,.439,4.34,-0.04,0.57,-0.46,0.309,4.73,0.46,2.3,0.268,0.000,0.000,0.311,0.000,0.000,0.269
1,Akira,Smith,BUS,29,C,1B,2.7,72,80,243,219,62,14,.283,.340,.543,.884,31,34,13,1,43,28,1,0,16,33,.381,.260,.276,2,2,119,4,0,0,3.0,15.6,0.151,.066,.452,6.54,0.16,0.82,2.53,0.282,10.34,1.01,2.7,0.283,0.019,1.000,0.250,0.000,0.000,0.300
1,Georgia,Thrurzty,MTL,31,SS,2B,1.9,68,80,232,212,60,11,.283,.330,.491,.821,28,38,11,0,37,22,0,0,16,58,.356,.208,.338,2,2,104,0,5,0,2.9,19.3,0.274,.069,.367,3.87,-0.04,-0.49,-0.66,0.269,2.95,0.29,1.9,0.283,0.000,0.000,0.262,0.083,0.000,0.254
